year,what,scale,specs,numbers,price,shipping  fees not included!,afbeeldingen
1966,Fordt GT 40 #2,1:18,Bruce McLaren & Amon 1966 LeMans Winner,Shelby 1:18,70,
1993,McLaren F1,1:18,McLaren F1 bj. 1993/1994,Minichamps,240,
2016,McLaren 570S,1:18,McLaren 570S,TSM,230,
2015,McLaren 675 LT,1:18,Presentation 2011,TSM,240,
2016,MCLaren MP4-31 1:18,1:18,Debut bahrein GP F1 2016 1:18 200PC,Minichamps / CK-M,300,
2017,MCLaren MCL32 1:18,1:18,Australië,18S307,370,
,Collector's Show Case 1:18 Triple 9 Display / 6pc,1:18,display 1:18,,120,
year,what,scale,specs,numbers,price,
1980,Kart Modellen 1980 - 1993,,Kart Modellen 1980 - 1993,,100,
1981,Van Diemen RF 81 Formule Ford 1600,,British Champion 1981 #42 Vervangen 21/01/2018,,100,
1983,Saudia Williams Ford FW 08C,,Test Donnington 19/07/1983,LANG,90,,"afbeeldingen/Saudia_Williams_Ford_FW_08C/Saudia_Williams_Ford_FW_08C-1.jpeg,afbeeldingen/Saudia_Williams_Ford_FW_08C/Saudia_Williams_Ford_FW_08C-2.jpeg,afbeeldingen/Saudia_Williams_Ford_FW_08C/Saudia_Williams_Ford_FW_08C-3.jpeg,afbeeldingen/Saudia_Williams_Ford_FW_08C/Saudia_Williams_Ford_FW_08C-4.jpeg"
1983,Brabham BT52B BMW M12,,Test Paul Ricard 14/11/1983,,70,
1983,Toleman TG 183B Hart Turbo,,Eerste test Silverstone 09/11/1983,540834335,115,
1983,Ralt Toyota RT 3,,Winnaar Macau GP 1983,540834313,76,
1983,Ralt Toyota RT 3,,British F3 Champion,540834311,55,
1984,Toleman TG 183B Hart Turbo,,Brazilian GP Debuut,,156,
1984,"Mercedes Benz Type 190E 2,3 16",,Evo 1 Senna Winner Nurburgring 1984,LANG,60,
1984,Toleman TG 184 Hart turbo,,Regenbanden,LANG,60,
1984,Porsche 956 K,,1000km Nurburgring 1984,540844307,70,
1984,Toleman TG 184 Hart turbo,,GP Portugal 1984,540844329,70,
1985,Lotus 97T Renault turbo,,Winnaar Belgium 1985,LANG,85,
1986,Lotus 98T Renault turbo,,WinnaarSpanje 1986,LANG,112,,"afbeeldingen/Lotus_98T_Renault_turbo/Lotus_98T_Renault_turbo-1.jpeg,afbeeldingen/Lotus_98T_Renault_turbo/Lotus_98T_Renault_turbo-2.jpeg,afbeeldingen/Lotus_98T_Renault_turbo/Lotus_98T_Renault_turbo-3.jpeg,afbeeldingen/Lotus_98T_Renault_turbo/Lotus_98T_Renault_turbo-4.jpeg"
1987,f1,,Winnaar Monaco 1987,LANG,100,
1987,MCLaren MP4/3 Honda turbo,,Test Car 1987,540874399,80,
1988,MCLaren MP4/4 Honda turbo,,MCLaren MP4/4 Honda turbo 1988,LANG,80,,
1988,MCLaren MP4/4 Honda turbo,,Japanese GP 1988 World Champion,540884392,186,
1990,MCLaren MP4/5B Honda V10,,MCLaren MP4/5B Honda V10 1990,LANG,70,
1991,MCLaren MP4/6 Honda V12,,MCLaren MP4/6 Honda V12 1991,LANG,70,
1991,MCLaren MP4/6 Honda V12,,German GP 1991 World Champion,540914391,120,
1991,Williams FW 14 Renault,,British GP 14/07/1991 metN. Mansell,540914305,320,
1992,MCLaren MP4/7 Honda V12,,MCLaren MP4/7 Honda V12 1992,,62,,"afbeeldingen/MCLaren_MP4-7_Honda_V12/MCLaren_MP4-7_Honda_V12-1.jpeg,afbeeldingen/MCLaren_MP4-7_Honda_V12/MCLaren_MP4-7_Honda_V12-2.jpeg,afbeeldingen/MCLaren_MP4-7_Honda_V12/MCLaren_MP4-7_Honda_V12-3.jpeg"
1993,MCLaren MP4/8 Ford V8,,41st Win Australia GP 1993,LANG,80,,"afbeeldingen/MCLaren_MP4-8_Ford_V8/MCLaren_MP4-8_Ford_V8-1.jpeg,afbeeldingen/MCLaren_MP4-8_Ford_V8/MCLaren_MP4-8_Ford_V8-2.jpeg,afbeeldingen/MCLaren_MP4-8_Ford_V8/MCLaren_MP4-8_Ford_V8-3.jpeg,afbeeldingen/MCLaren_MP4-8_Ford_V8/MCLaren_MP4-8_Ford_V8-4.jpeg,afbeeldingen/MCLaren_MP4-8_Ford_V8/MCLaren_MP4-8_Ford_V8-5.jpeg"
1993,MCLaren Lamborghini MP4/8B,,Test Estoril 28/09/1993,540934399,100,
1994,Williams FW 16 Renault V10,,Met Rothmans Reclame,,70,
1985,Lotus 97T Renault turbo,,Senninha Edition 15 what AS Institute,540431501,80,,"afbeeldingen/Lotus_97T_Renault_turbo/Lotus_97T_Renault_turbo-1.jpeg,afbeeldingen/Lotus_97T_Renault_turbo/Lotus_97T_Renault_turbo-2.jpeg,afbeeldingen/Lotus_97T_Renault_turbo/Lotus_97T_Renault_turbo-3.jpeg"
1987,Lotus 99T Honda turbo V6,,Senninha Edition 15 what AS Institute,540431502,120,
1984,Toleman TG 184 Hart turbo,,Senninha Edition 15 what AS Institute,540431503,100,
1992,MCLaren MP4/7 Honda V12,,Senninha Edition 15 what AS Institute,540431504,60,
1982,Ralt Toyota RT 3,,First F3 Test Silverstone 09/1982,547824392,70,
1982,Ralt Toyota RT 3,,First F3 Test Silverstone 09/1982,547824302,75,
1982,Van Diemen RF 82 Formule Ford 2000,,Championat Formule Ford 2000 #11,547824311,370,
1983,MCLaren MP4/1C Ford,,Test Silverstone 10/11/1983,540834307,83,
1983,Saudia Williams Ford FW 08C,,Test Donnington 19/07/1983,540834301,90,
1983,Ralt Toyota RT3 F3 Macau 1983,,Ralt Toyota RT3 F3 Macau 1983,540834313,62,
1984,Toleman TG 183B Hart Turbo,,Toleman TG 183B Hart Turbo debuut Brazilië,540844339,105,
1985,Lotus Renault 97T V6,,Winner Belgian GP,540854312,76,
1986,Lotus Renault 98T V6,,Winner Spanien GP,540864312,100,
1986,Ford Sierra RS Cosworth,,Ayrton Senna Rally Test 1986,540864399,75,
1988,MCLaren MP4/4 Honda turbo V6,,Winner Japanese GP World champion,540884312,100,,"afbeeldingen/MCLaren_MP4-4_Honda_turbo_V6/MCLaren_MP4-4_Honda_turbo_V6-1.jpeg,afbeeldingen/MCLaren_MP4-4_Honda_turbo_V6/MCLaren_MP4-4_Honda_turbo_V6-2.jpeg"
1989,MCLaren MP4/5 Honda V10,,MCLaren MP4/5 Honda V10,540894301,109,
1990,MCLaren MP4/5B Honda V10,,MCLaren MP4/5B Honda V10 World champion,540904327,170,
1991,MCLaren MP4/6 Honda V12,,MCLaren MP4/6 Honda V12 world champion,540914301,100,
1992,MCLaren MP4/7 Honda V12,,MCLaren MP4/7 Honda V12,540924301,150,
1993,MCLaren MP4/8 Ford V8,,MCLaren MP4/8 Ford V8 Winner European GP Donnington,540934308,150,
1994,Williams FW 16 Renault V10,,Aida 1994 - Pacific GP,547940202,130,
1994,Williams FW 16 Renault V10,,Imola 1994 - San Marino GP,547940302,150,,"afbeeldingen/Williams_FW_16_Renault_V10/Williams_FW_16_Renault_V10-1.jpeg,afbeeldingen/Williams_FW_16_Renault_V10/Williams_FW_16_Renault_V10-2.jpeg,afbeeldingen/Williams_FW_16_Renault_V10/Williams_FW_16_Renault_V10-3.jpeg,afbeeldingen/Williams_FW_16_Renault_V10/Williams_FW_16_Renault_V10-4.jpeg,afbeeldingen/Williams_FW_16_Renault_V10/Williams_FW_16_Renault_V10-5.jpeg"
1984,Toleman TG 184 British GP 23-07-84,,Toleman TG 184 British GP 24-O7-84,,67,
1987,Lotus 99T Honda turbo V6,,Japanese GP 1987 limited 1000 pc PROMO,413870112,200,,"afbeeldingen/Lotus_99T_Honda_turbo_V6/Lotus_99T_Honda_turbo_V6-1.jpeg,afbeeldingen/Lotus_99T_Honda_turbo_V6/Lotus_99T_Honda_turbo_V6-2.jpeg,afbeeldingen/Lotus_99T_Honda_turbo_V6/Lotus_99T_Honda_turbo_V6-3.jpeg"
1987,Lotus 99T Honda turbo V6,,,413870012,75,
1991,MCLaren MP4/5B Honda V12,,1st Brazilian win 03-1991 - V1,403914301,122,
1991,MCLaren MP4/5B Honda V12,,1st Brazilian win 03-1991 - V2,403914311,200,
1993,MCLaren MP4/8 Ford V8,,Suzuka Legend - The last running in Suzuka 1993 - limited 2520 pc,539934308,70,
,Formula One Car by Car 1960 - 1969,,Book - Peter Higham,,40,
,Formula One Car by Car 1970 - 1979,,Book - Peter Higham,,40,
,Formula One Car by Car 1980 - 1989,,Book - Peter Higham,,40,
,The golden age of formula 1,,Rainer Schlegelmilch,,250,
2017,Helm 1:2 2017,,Helm 2017,,130,
2017,Helm 1:2 2017 België,,Helm GP België 2017,,179,
2018,Helm 1:2 2018,,Helm 2018,,100,
1994,Helm set 1/8 Ayrton Senna,,Carriere set 1979 - 1994,,300,
2009,McLaren Mercedes SLR Stirling Moss,,McLaren Mercedes SLR Stirling Moss,Minichamps,350,
2017,MCLaren MCL32 1:18,,China,537171802,250,
2017,MCLaren MCL32 1:18,,Monaco,114180005,300,
1991,Williams FW 14 Renault,,British GP 14/07/1991 taxi met N. Mansell,,300,
2006,McLaren Mercedes SLR ed. 722 Trophy,,McLaren Mercedes SLR ed. 722 Trophy,GT-Spirit,150,
1993,Penske Chevrolet,,Test Indy Car,LANG,50,
1989,MCLaren MP4/5 Honda V10,,MCLaren MP4/5 Honda V10 1989,LANG,65,
1994,Williams FW 16 Renault V10,,Williams FW 16 Renault V10 1994,,100,
1987,Lotus Honda 99T V6,,Winner Monaco GP Camel version,540874392,,
1990,MCLaren MP4/5B Honda V10,,Suzuka Legend Suzuka 1990 - limited 1296 pc,539904327,150,
1993,MCLaren MP4/8 Ford V8 German GP,,Göde uitvoering German GP Hockenheim 1993 Andretti,338-0145,50,
1993,MCLaren MP4/8 Ford V8 German GP,,Göde uitvoering German GP Hockenheim 1993 SENNA,338-0137,50,
1985,Lotus Renault 97T V6,,Winner Belgian GP GIFT BOX,540854392,100,
1983,MCLaren MP4/1C Ford,,Test Silverstone 10/11/1983,547831807,300,,afbeeldingen/MCLaren_MP4-1C_Ford/MCLaren_MP4-1C_Ford-1.jpeg
1987,MCLaren MP4/3 TAG,,Test Car 1987,547871899,450,
1993,Kart Bercy 1993,,,540091800,130,
1987,Figure 1:10 Ayrton Senna 1987,,Monaco 1988,IS-17-1987,400,
1987,Helm 1/8 Ayrton Senna 1987,1:8,Monaco 1987,543380712,80,
1988,Helm 1/8 Ayrton Senna 1988,1:8,World champion 1988,543380812,200,
1991,Helm 1/8 Ayrton Senna 1991,1:8,,,30,
1994,Helm 1/8 Ayrton Senna 1993,1:8,Kart Paris Bercy 1993,540380302,30,
1994,Helm 1/8 Ayrton Senna 1994,1:8,Blauw Vakje,,50,,"afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-1.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-2.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-3.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-4.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-5.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-6.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-7.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-8.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-9.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-10.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-11.jpeg"
1994,Helm 1/8 Ayrton Senna 1994,1:8,Blauw Vakje (2),,50,
1994,Helm 1/8 Ayrton Senna 1994,1:8,Rothmans,,100,,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-1.jpeg
1994,Helm 1/8 Ayrton Senna 1994,1:8,Racing,,150,,"afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-1.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-2.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-3.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-4.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-5.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-6.jpeg,afbeeldingen/Helm_1-8_Ayrton_Senna_1994/Helm_1-8_Ayrton_Senna_1994-7.jpeg"
1985,McLaren set 1 - Prost / Prost 1:43,1:43,World Champions Set,Minichamps,295,
1989,McLaren set 2 - Senna / Prost 1:43,1:43,World Champions Set,Minichamps,300,
1991,McLaren set 3 - Senna / Senna 1:43,1:43,World Champions Set,Minichamps,240,
1993,McLaren set 4 - Nigel Mansel / Alain Prost,1:43,World Champions Set,Minichamps,190,
1997,McLaren set 5 - Damon Hill / Jacques Villeneuve,1:43,World Champions Set,Minichamps,110,
1999,McLaren set 6 - Mika Hakkinen / Mikka Hakinen,1:43,World Champions Set,Minichamps,80,,"afbeeldingen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen-1.jpeg,afbeeldingen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen-2.jpeg,afbeeldingen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen-3.jpeg,afbeeldingen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen-4.jpeg,afbeeldingen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen/McLaren_set_6_-_Mika_Hakkinen_-_Mikka_Hakinen-5.jpeg"
2017,World Champion 2017,,Mercedes AMG Petronas F1 W08 EQ Power,Minichamps,150,
2018,Fernando Alonso McLaren MCL33 #14 Spanish GP formula 1,,Fernando Alonso McLaren MCL33 #14 Spanish GP formula 1,50833,300,
2014,MCLaren MP4-29 1:43,1:43,Conversie Abu Dhabi Test McLaren 2014,,120,,"afbeeldingen/MCLaren_MP4-29_1:43/MCLaren_MP4-29_1:43-1.jpeg,afbeeldingen/MCLaren_MP4-29_1:43/MCLaren_MP4-29_1:43-2.jpeg,afbeeldingen/MCLaren_MP4-29_1:43/MCLaren_MP4-29_1:43-3.jpeg"
2016,Dandelion Racing SF14 1:43,1:43,Conversion Super Formula 2016,,160,,"afbeeldingen/Dandelion_Racing_SF14_1:43/Dandelion_Racing_SF14_1:43-1.jpeg,afbeeldingen/Dandelion_Racing_SF14_1:43/Dandelion_Racing_SF14_1:43-2.jpeg,afbeeldingen/Dandelion_Racing_SF14_1:43/Dandelion_Racing_SF14_1:43-3.jpeg"
2016,1,1:43,Debuut Bahrein #47,Minichamps,130,
2017,MCLaren MCL32 1:43,1:43,Australië,Spark,50,
2017,MCLaren MCL32 1:43,1:43,China,537174302,85,sold
2017,MCLaren MCL32 1:43,1:43,Monaco,Minichamps,180,,"afbeeldingen/MCLaren_MCL32_1:43/MCLaren_MCL32_1:43-1.jpeg,afbeeldingen/MCLaren_MCL32_1:43/MCLaren_MCL32_1:43-2.jpeg"
2018,MCLaren MCL32 1:43 Set,1:43,Set Stoffel / Alonso Ltd 222 pc,CK-modelcars,350,
2018,MCLaren MCL33 1:43,1:43,MCL33 2018 Australië,537189302,75,
2018,MCLaren MCL33 1:43,1:43,Spanje Ltd 99 pc,Minichamps,200,
2018,MCLaren RENAULT MCL33 SHOWCAR,,LTD 150PC,Minichamps,100,
2017,Stoffel Vandoorne 4 T shirts,,,,,
2017,Stoffel Vandoorne 2 Caps,,,,10 each,
year,what,scale,specs,numbers,price,
,ART AND SPECIALS,,,,,
1993,Figure 1:6 Ayrton Senna 1993,,Brasil GP Sao Paulo Size 30 cm.,,350,
2017,Senna Hamilton Print,,Foto Print,,,
2017,Senna Framed drawing,,,,,
,DVD,,,,,
1970-1980,yearoverzichten,,,Duke,200,
1980-1989,yearoverzichten,,,Duke,200,
1990-1999,yearoverzichten,,,Duke,240,
2000-2009,yearoverzichten,,,Duke,245,
1970-1979,yearoverzichten René,,,,,
1976-80-95-99,Complete yeargangen René,,1976 /1980 - 1995 (Senna) / 1999,,,
1993-94-95,RTL Pre race René,,,,,
1973,GP Duitsland 1973 René,,,,,
1994,Imola René,,1994 (Senna),,,
2008-2009,yearoverzichten,,,FIA,,
,"Film Senna no fear, no limits, no equal",,,,,
,The speed merchants,,,,,
,Le Mans,,,,,
,Rush,,,,,
,Grand Prix collection 10 losse,,,,50,
year,what,scale,specs,numbers,price,
,PAINTING,,,,,
1994,Paint Art Senna,,Eric Jan Cremer - Wood Handmade Holland,,,
2017,Senna,,Canvas 100 x 70,,,
2017,Stoffel Vandoorne Art fan day,,,,,
2018,Stoffel Vandoorne Art fan day,,,,,
year,what,scale,specs,numbers,price,
,Faust Racer,,Koen Vergeer,,,
,De Formule 1 Fanaat,,Koen Vergeer,,,
,Formula 1 in camera 1950 - 1959,,Paul Parker,,150,
,Formula 1 in camera 1960 - 1969 Vol 1,,Paul Parker,,80,
,Formula 1 in camera 1960 - 1969 Vol 2,,Paul Parker,,45,
,Formula 1 in camera 1970 - 1979 Vol 1,,Paul Parker,,70,
,Formula 1 in camera 1970 - 1979 Vol 2,,Paul Parker,,70,
,Formula 1 in camera 1980 - 1989,,Paul Parker,,120,
,Sports car racing in camera 1950 - 1959,,Paul Parker,,100,
,Sports car racing in camera 1960 - 1969 Vol 1,,Paul Parker,,110,
,Sports car racing in camera 1960 - 1969 Vol 2,,Paul Parker,,40,
,Sports car racing in camera 1970 - 1979,,Paul Parker,,110,
,Sports car racing in camera 1980 - 1989,,Paul Parker,,60,
year,what,scale,specs,numbers,price,
1966,The German Grand Prix,,Cyril Posthumus,,,
2018,Enzo Ferrari,,Enzo Ferrari - biografie,,,
,Pole Position,,Koen Vergeer,,,
2003,Het verhaal van de Grand Prix,,Behram Kapadia,,10,
,Gijs van Lennep biografie,,,,/,
2001,Unseen Archives,,Tim Hill,,5,
2004,De onvergetelijke hoogtepunten,,Lionel Froissart,,25,
,Jacky Ickx,,,,/,
2002,"Formule 1, de autobiografie",,Gerald Donaldson,,30,
